customer_id,FN,Active,club_member_status,fashion_news_frequency,age,postal_code
00006413d8573cd20ed7128e53b7b13819fe5cfc2d801fe7fc0f26dd8d65a85a,1.0,1.0,ACTIVE,Regularly,52.0,25fa5ddee9aac01b35208d01736e57942317d756b32ddd4564743b005a805b1d
00009d946eec3ea54add5ba56d5210ea898def4b46c68570cf0096d962cacc75,1.0,1.0,ACTIVE,Regularly,56.0,b31984b20a8c478de38eaf113c581ff64e63c4242e607bbf2f3516b4ed40623d
0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,1.0,1.0,ACTIVE,Regularly,44.0,930b19ae7db8abb5a27f4da10217755a7305b4c452f5e0b7644c8e97cbeef4f6
00025f8226be50dcab09402a2cacd520a99e112fe01fddd1b10ea71270547b26,1.0,1.0,ACTIVE,Regularly,25.0,a04505cd362b8b1e3f1d8d47d8b31163eae82f078182a1f83261560299f59cef
0002db27a1651998a3de4463437b580b45dfa7d8107afa778daad67b3d015d94,,,ACTIVE,NONE,19.0,9b46516acead806d3ec7803b7fa3d39ec0a3b8329543dc93d22d2c33efacbf77
0003e867a930d0d6842f923d6ba7c9b77aba33fe2a0fbf4672f30b3e622fec55,1.0,1.0,ACTIVE,Regularly,33.0,d647e4ede3d0eb4ce0750440a110350b5f4c758165d89d44c339133ea36d3bdf
00045027219e894b683fb4687211e2d0c904c268e9f28d370d9a84994678ac71,,,ACTIVE,NONE,20.0,777fe14eafe75737a8e234db25da1d0e0c5009c3931f0274dded364725157898
0004a7b3945dc17a51fa3b1a206749f0e3404e4f6ae8b6905ef5e56212e1fe38,,,ACTIVE,NONE,60.0,dbc79bf7ff4cc7b11a69d2d7c28ea4c5a998ab6da0ccaf68027197351ca5e84c
0004df3751c43c51f79aa24d321f35ce4a1a3ec180c4a1425b0aefc037ab25bc,,,ACTIVE,NONE,21.0,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
00058592fc65afabbb00b1bb7d33c6b221d00c6a98c62101ee96e12ebddbf0ee,,,ACTIVE,NONE,24.0,09c5be6b8bd6e0c04be46c5062a703db15d9d0d6429291726bf7d1e9e25c182f
00075ef36696a7b4ed8c83e22a4bf7ea7c90ee110991ec5e0fb21b12f862f73d,,,ACTIVE,NONE,40.0,0c0e15f8fa88a1d4aa6ca8a0b4a8289ca1affbaebdea22c76b43037a78328d3a
0008968c0d451dbc5a9968da03196fe20051965edde7413775c4eb3be9abe9c2,1.0,1.0,ACTIVE,Regularly,50.0,860a370c01b1eeebe3f3c78241f3236c79b0c41669c19e31ebcfbdb30eab0116
000a9291e5aa007a10faf2177671a8501dade80e6679218d65f53c1497b17f87,,,ACTIVE,NONE,50.0,832d75a6bb1d2f5b991034ac8b299c06a6dc476df6bbc01761b5deec642383e3
000b1dcb46a5af8acaddb09d5d07df16e182291f3b0ced01b60fb96c48cd333f,,,ACTIVE,Regularly,29.0,0ce236e8e535fa996d8bd2a344d8b902466561780e639fdb75233d2bce309fd9
000b5ee14437ff127c1093eaa2ae3cc8801cfa5dd0b66fd775de26ca7e2265c3,,,ACTIVE,NONE,39.0,50b92ecfb574c50eac3176d335af0b5c9e91b9124fb1d31ef2829ef56030f777
000c0995dc7f3fbec41cf1cb2c535f6e2ae99c0fe351e4a40ccd037fe6dced46,,,PRE-CREATE,NONE,49.0,55080b7ba053d463a0f2140ae208e44fd2083361b059377d9b427c1b36fa20b3
000c6b4be3802318b68fe21ac36b119ef6568f42a82f18a87303c74822fd1c79,,,ACTIVE,Regularly,31.0,9bfedabb919f699cf9016a69902ddcca8792bf64a60634100162031d67ab82d1
000e2691ade6addc974a2d8767def5b5272d1c62883cc04a011658aaa13b2ecb,,,ACTIVE,NONE,28.0,3bb3547ebd518e6d2741f19f724bed8da1b069dfa66224379e750415595a221a
000f7535bdc611ad136a9f04746d6b1431f50a7f60fbbed14ea401d602badb69,,,ACTIVE,NONE,48.0,d0b267896af62f036d4871ad5edf0aa6c9cfd6d77207dfacf2c3c6f984299339
000fb6e772c5d0023892065e659963da90b1866035558ec16fca51b0dcfb7e59,1.0,1.0,ACTIVE,Regularly,42.0,68ca4d9d6051d9c10b917d36bf9cb4afbadc551f7e4febf83cea27eeebff56de
00108c4b7847b71af7540e34b9842b1a18b5c5ee28e9481c07ccbe2dda375363,1.0,1.0,ACTIVE,Regularly,54.0,a541d4639a3d07246cb7ce7a609ee52c8faacb86d263116a5e5cc9a7abaf8582
001127bffdda108579e6cb16080440e89bf1250a776c6e55f56e35e9ee029a8d,,,ACTIVE,NONE,26.0,4845d19cdb5e363f52a5d9899ff2354fb39229c46824e4917b07bc5a44fe6868
0011e0bd4c39195ff342c0ca0ac0601ce2b943a826550674298a5ba49d9f8e70,1.0,1.0,ACTIVE,Regularly,22.0,250546b787d418095cef9b8d5935d75f7532e549752dc5caa3999d2d919e6300
0014c3db023194a15a3c416d0adf11400a2291e02403ddecad348f9fe278ced6,,,PRE-CREATE,NONE,27.0,51d8c240c513224a0a2e13a7595984cfddb19b16578981b36d5581b5d9702fad
00155b2ef48cfb5d2fce4642f670f151efe0747542a5b946580684cd2c6093c7,1.0,1.0,ACTIVE,Regularly,21.0,77d01d7a5cf3801525dd923345e47d079fea7dc14dcfcd9862505bbdee533f5f
0017897f26caa04ee59fa5fb91aa17ed015cf82fcacd3713d3dc91123e021a58,1.0,1.0,ACTIVE,Regularly,29.0,1e836da13b062e0838e670c9d037d0aaea83e351342bece08daf999f3080227c
001c1f8d70782f450524d3b3f404474dbd4a7d0d2ad78a0ec7db76248ce08346,1.0,1.0,ACTIVE,Regularly,33.0,c589eca298f62cc560c91dfbe4f029eeb1f238eacad2a982e6e98dcf436265d9
001dcfc46c55c40fa3aa82ffd9f5e9e8dde96b765ec33a8b6492849b3ff0a518,,,ACTIVE,NONE,24.0,57fe21ec96d15e85a6e0ddaf86168414969c52a760839d94a68badfc23cec866
001ea4e9c54f7e9c88811260d954edc059d596147e1cf8adc73323aebf571fd8,,,ACTIVE,NONE,25.0,63c82aec4da25b6b5f967abe4e17d112b24e53643e916df053c5e30752d8ee28
001eacd7b51c28d306e48b93b28d5f209a1da073bb94c7c540025a38cb2ed3da,,,ACTIVE,NONE,27.0,e1474f9a871813651183c7fc5555a9d5d83106a58185281d20f43985ed608b31
001eccaf68dc46d3068308771c69ab9103972f4f743c9489179d531be6346187,1.0,1.0,ACTIVE,Regularly,20.0,12125800eed214a3df96c75312e461455d8fb147554a608d82db6f414c38502b
001f5299820c00df306221ff581abf9d18507c2e35ecb34aceed093612ac84d3,1.0,1.0,ACTIVE,Regularly,28.0,129a2c2275a8318f6f552e2836a3daf6c203a6597ddabb93fb4de56a109f97eb
002267cd60c32dc4faa6d5767e2b70b1479d4d6face516545bd90dfc8f9a6adf,,,ACTIVE,NONE,62.0,342a435853ff4eec8acd81efff643ef49d41e015e07b449561a500772f34ad7a
00227494dd4e87da02bb1ab4afc38f13f2e11c6517b1bbcdca56f212a9c470ab,,,ACTIVE,NONE,50.0,4461537ca897b3909a1546e5bd78a3fe157052ebd15dfd2dbe158102c22e5e6e
0025b31255df18a12793925c2df47e64247c5a1ee8989d769f1f2c1c23c971fe,1.0,1.0,ACTIVE,Regularly,52.0,0b0a8c66ad7cea880f44149cb806ef22d268ab11734357bf03ef608eaf76c913
002aa7519303f8d29eb7cd8c188b510d456bcdbb09f20ea03e1114953bc4e2be,1.0,1.0,ACTIVE,Regularly,20.0,20f86c99aaa4cfe914948f35689dd4eb242d1400da5394e80c9a05837e3e6418
002c85ad44c3cb34c3e2c9105716840c3dc3d4e689b19a64a5fae88843116b22,,,,NONE,29.0,3720901dc3124075bd079049586d71d5bdaff8ef7e4ec1e80d0e0b60df1a5f65
002d04cb323607cf2db895ae8d74e6b020f9ba77e02ef69e40ab7705f753f766,1.0,1.0,ACTIVE,Regularly,51.0,5b5d8b45bbb71814d2ebc6a87fe8b845c3257661e5a56565d196175078704326
002d8d26c9414c981c012c6f5e4b2de7ffd3bc568c457433c419505e30825135,,,ACTIVE,NONE,23.0,8d4ceb946237cf52ce5c2a1a71d1221fde77627a52d661739f5370f66493f93f
002d9149d865f37c0e3df358111cf5a30e19f9748859533028d7952c76d45445,,,ACTIVE,NONE,22.0,7dfc9b3e5b95179d26ec9d1f65734938ca12f585b306519a60aea472e71498a2
002e3f2f5e51a14d0c7f1980309c6fc3f7372b11696ea5fdf76727d19d8d66d3,1.0,1.0,ACTIVE,Regularly,26.0,61889609220b0decda3253830643cd38cb3ff4de701c5f4b60457212e588873e
002f99e45a85bd01d33686686b562713ef8836d2a0aa867c5c2dacd1a88d5688,1.0,1.0,ACTIVE,Regularly,21.0,16906bd8b199a6d1e1d9d705e279e67e90a82219bc96436b6c2a54b738dc1866
002faf80a68267264102e08eb4f1f21a59236773e4ab9009c948433fdbad28e7,,,ACTIVE,NONE,49.0,213e160825b2ea8f940b595660de6cbedd17a470b0dc276872d264fde78d808e
0030bed6ae85e5e4f89285f21345b5f5dd0df531ec5a769ab275bbc97b6b1090,,,ACTIVE,NONE,24.0,934719448cbf8198e2a2cd4ecb5346f61587be0e765a9928b566c14e3511a90e
00325b3b16a64b43854f4b761109f5621eddc9c8891a76a1d9da6aa5bb0f8d26,1.0,1.0,ACTIVE,Regularly,32.0,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
00355b2628c1d9774d9baaf4edbc4b4e1fd1c4ac1b11d48797f17699372642ca,,,ACTIVE,NONE,50.0,e9b6286f52a7a5eb2eaa3e999502aa04ff93d26c6e7d9fda48ee661e5836f569
00357b192b81fc83261a45be87f5f3d59112db7d117513c1e908e6a7021edc35,,,ACTIVE,NONE,47.0,89125db58e99446654ab1d3f9ab0ed3acc4fe4791345881f3d9a0e903c20e052
0035b1a78ff4c2ae30b91308700c09d257bc8f830acc53574829f391f3e611d4,,,ACTIVE,NONE,52.0,18b58945614e52ffcb4b272f5821ab430453f7e03129a8782f54c95ae07e07cd
0036a44bd648ce2dbc32688a465b9628b7a78395302f26dd57b4ed75dce9b70c,,,ACTIVE,NONE,24.0,80d219071a6a17ba38b64c6e4f83899ab8351caaada34965bc0f2a354134874b
0036b3c13e883279b2454b76ca09590c7d186e5d7c4d410d0857f6a99e5fa0fb,,,ACTIVE,NONE,29.0,6495c66a30baff8bd498b7a90fc536c91f9a5e669df9318e22409c2e2cac114a
0036cd7fe6541b06d252f2370bfe56ff0112cab8d5297d92f0b411576cf46a00,,,ACTIVE,NONE,26.0,648056d49581c4555a0c3d81cd029f14016d0d5c95e1bb618ba578ba169aeb60
00386204792883fdad2a2f5aa6ee2354e6019518fe31cc12b817db36b60393cb,1.0,1.0,ACTIVE,Regularly,20.0,ca33ed3c34bc078ed81fc5b729d92cd0e3f898e1e5dc5de3b4241ed98a4a2426
00388ce7aa95b34a22520755e712bfdbb525b2e5ee82193d5bba6eddebfbe20b,1.0,1.0,ACTIVE,Regularly,48.0,336aee9d083f67a0902c45d6db11534b2faab77d64c4d8399a3c70f40adcb8bd
0038bf2b66fdc1de4e25bce86c50d6dbdc3a0c3551c354d74d976b477b97ea65,1.0,1.0,ACTIVE,Regularly,44.0,798e39ac61cba624cd4a3b27d4ce23afbb1096ff45aefc442eaf6f02e89e0a7d
0039ce34f7dec0ca83168a4e371ec4cbcf0cad4e3666f0aa9ef533876946dcd7,1.0,1.0,ACTIVE,Regularly,43.0,df31b7b00506e6c5bb488e23fe56ba19b50b67e739b0021942ec8a67ff2877ab
003af218605bcf99f2191d06f175c1c4d6c40e8a504406bf487c0e97dfe5297b,1.0,1.0,ACTIVE,Regularly,22.0,55d610b690a7280cf2e1f948be975130d82e42efb38648e8cd8d5a9a2ca9af54
003ca8034fe32b9bab8e1c03d74c972abd80dccf84a30200eb6294249965721a,1.0,1.0,ACTIVE,Regularly,26.0,7b41c31322ac8806ab98b42d3c0724541edd62ca3535a779f12e7b5d6d364524
003e9afe7a92d87fd3cde788ef1bc177e2f1b484e30001aa310953cee44f9e93,,,ACTIVE,NONE,20.0,7f23c933850a15f1032851529732d9d362bffac3fb77a7e940d39fee3640a475
004058e5f9c40ab5168341cbd578cfeb23933ffb39a009f75d383294cb4e18b9,,,ACTIVE,NONE,24.0,5c5ad5dbefc3d2686ae61a279fa96b39f3b8c1e94498542c3abc9493059fca92
0040e2fc2d1e7931a38355aca56b2c62b87e65051b72878c813c093d7b9b87aa,,,ACTIVE,NONE,39.0,8d19ecf2057b7199b28648c237af6b048c495118325581ae831b269f7b405a69
00437b5a66b9cafb9e4ba40d6c0de06967eb4befafd94036a38055151a0ec45f,,,ACTIVE,NONE,32.0,1c7689b923e54575f91495910ab2c15b3fe28246b2730c0fe5f3d6d96e87e3ce
0043b2f4d052b5a80a109ac38be1ff7467a083eb98bb019b443caf1ec9a00ca9,,,ACTIVE,NONE,30.0,a5b00162eb6bf8429a30ba7036c74c3ab5338b5426736d33aace6d1d3e7b4cdd
00459e5341c64d459a496c4cf5eb9016e2df3a34cbafaf3164aa7bd07a58f6f5,1.0,1.0,ACTIVE,Regularly,37.0,47189293b157ee89c0815e2e9f685616beec260740a21f5346d8b287935941dd
00484f2d78db3797a84ba05f015ba3bc432a22a86a6ff5409c370f5aef7d8e30,,,ACTIVE,NONE,48.0,93debe29ccaf9c4787e2387a655e59c9e025d9ae8298184a912371f48ebf1b55
00497498ca3ada0d7b310bfa49d1a0c208fb01e9641b5ac508362a4e2097e765,,,ACTIVE,NONE,46.0,af3505bfbb8c3c56fa076d35f4c3fe5c057be4daf25cbc31255c3d3ed34909d7
004995f86aedd82f31fde9516781685a0719f6ce4d2f3c623a0b4a3f0160afdc,,,ACTIVE,NONE,28.0,dce24d90338b07f7b0b8b33a59160d284d253d634bc3a1f6ea40946ef8c4d0c6
00499621becd9a013d33439d4c7882445133cd47dedecceea16291ec9a30ff0d,,,ACTIVE,NONE,54.0,7c270eafa6496f555c362828e52bda246d8fc8f3857a9dc3bb3dabd629541096
004a44473a84b8809a136aac040eae2e567f85031949ebede13474124571c361,1.0,1.0,ACTIVE,Regularly,29.0,33c89ee26939df5d7e7b6236cd96fc985379fff2f901f2306f4953898cb13854
004c3d55d60985010a817c9c3332ff3f2b61ca564598924a0d8652e09b1517c5,,,ACTIVE,NONE,31.0,ada8d26f5415344931335b70abd7313249d8d19eb60f22569f92c67428c81593
004fb527dcbefecd7cbd299f9aed3276a6ff2d2639da6fdb1efce343619f46cf,,,ACTIVE,NONE,25.0,dba169a33e98bfbbc09dcfdc174c448fcc0146c604f97957c5c894f2dabae57e
00501bbb0d1b35bad781bc7bade2ee8cfb624fe2d0222740da43ff28c2243b51,,,ACTIVE,NONE,28.0,c41643b05ed54082e5190f0b0bff002ef40d7a31c091907c7bf741ff1db1553a
0050be3089108d675eaa2e173b9a045a33ee7c25acfafc46657e8f672d655402,1.0,1.0,ACTIVE,Regularly,58.0,ef1fc30d85803760f9ff3517b5dd78900360a777148ea43f9c438bdfcec6617b
0050da20c0ce0b10c8b23cfe434908f6400796ca085c66d4525f96d69209cdcc,,,ACTIVE,NONE,29.0,10b70f34e488857bed8b5c6250e967ca792d3a128ccf930ffd127db57ca4e890
0050daf92485f3863f719efe75b8e0a6b5fa6aeafd3a5bc473da8dd7bb6e1220,,,ACTIVE,NONE,51.0,10d23fac0ab3a41e478df06100df1b7735ae14d98e917b7fc5d9cf00009f0a2d
00511323d252c93be07a61a61891bc8ff0ffdf547573fcafa96807e1349b4636,1.0,1.0,ACTIVE,Regularly,58.0,f3618817f36086a3a71cacf19369ba411083206758cb7baadef621181c749fbb
005173258cd27d96b6ae64426c03e84dd780565fc8e44b9de3fcbc1a2bcdf12d,,,ACTIVE,NONE,49.0,0c7a2470b6cebd086ba4f732c25052a468550a33de83f5c0faf2cb10febbb193
0053b99bfd3c66da594f9bc833e6742db4bd7dde9f5b8d3c62dc0d0561013a0f,,,ACTIVE,NONE,23.0,f8193c255f05c1869c98f547f1a21b16dac64151f369ce94435f561b362e74ed
005546fa5fa5a194a0bcb6e50a42e8a61b11e05a3be41ececd01be68a7f27793,,,PRE-CREATE,NONE,23.0,057f65cbbed127e768988159c19c6dfaa3e2ec737dbcb4058fd8ee11de7e3fd0
0057168dfabe96a434012c7ee2fa2ea66707fb5b0a6e66e6565ed20d7d68b875,,,ACTIVE,NONE,23.0,6c00555d978a8ce6c135d8c0074a91c53452b4e9c4e8d4680dbdfb6dad19aa8a
0057a932767799d97da3b3497719e252ab0c9097675091f38a75115a6e99c1e7,,,ACTIVE,NONE,24.0,8f038747a1a5f7a949f6eb35ecf0c22f0c4a375f496ac5601b9f3b35b18588aa
0059a72dc89bd3a2bd42e523d98567a0f1acd1f7046f9bdae89e04ddc0a494cf,,,ACTIVE,NONE,55.0,d0f29d914db2308add936f47724dd1b1515c3396e1b63e5b940eeba4d07d74f1
005b9ef1b2a06e61a5f2404e7b90fffe7c721759af634c949596ada5edf13fef,1.0,1.0,ACTIVE,Regularly,18.0,3b65b290964f574a2d4ddd09a37b00d9b357065eebcaf05efecb3be4ded7b1f3
005c032333e49c8e1145ae53d4b87a1d7412fb1b0c2b1d9a23ff8fe4a0a2f211,1.0,1.0,ACTIVE,Regularly,58.0,c7923e23831bf0cf2e4005ef39fa566350fdd77dc2e974d76b999c77a47b02da
005c9fb2ba6c49b2098a662f64a9124ef95cbec5fcf4ebdb4dcbaaf83f979c51,,,ACTIVE,NONE,46.0,3d808c7a18eb8f34287f4c77056ef7ef051ab84422c9e7b6d755956725b553bd
005d818153d6573cb015fb241f5413fc15e68a67511b7feda6f5794092eac0e5,,,ACTIVE,NONE,29.0,22fc6a1c1c4e1cf530a1388d2350a19badd972b06ff40b03c11ca22c7b2b2cf0
005d9efa9e967997bf4e6a30ed5a027a530019127ac7d7e445e208d910d1266d,,,ACTIVE,NONE,45.0,cdf454662fc7df2e670e00c37a03422411facf24e7b7f813d03931676a3c988c
005dfc4fb0953763f072013a396a9c461ff169d6dc255dec0e56f71acee2c995,1.0,1.0,ACTIVE,Regularly,27.0,c1486716a76ea3d6d98ee48323138cb9f60fb3bb38c7f96661b449c501bce6e3
005e89af159f63c1280904d911e7f872683ab6223ecf33ca230de50e7bec7a61,,,ACTIVE,NONE,25.0,7fe31d60a1a94fef716563ac4f3570edd9416c1124b7289e09373e2fa8aa8656
005ecc954d43cfe1c03af87603adf2ec88a5e76b86b99dac02daa70480f972d3,1.0,1.0,ACTIVE,Regularly,49.0,a353571932ac0b3e8d3a1843320fd60912ed40cde42321262a96eccaeabe550f
005f236361e73bb5cf20e7dec6c6602d9ecfd044fd884c059c0aa3dcfd130fa2,,,ACTIVE,NONE,37.0,7a6f439a298f90c504656a2e7cea2422173c34576fb6c182afd4b1c05ba5fee7
